らち	ɾ a̠ t͡ɕ i
こうかい	k o̞ː k a̠ i
くみこむ	k ɯ̟ᵝ mʲ i k o̞ m ɯ̟ᵝ
ちょうちんあんこう	t͡ɕ o̞ː t͡ɕ ĩ ɰ̃ ã̠ ŋ k o̞ː
きっと	kʲ i̥ t̚ t o̞
まつむら	m a̠ t͡s ɨᵝ m ɯ̟ᵝ ɾ a̠
はびこる	h a̠ bʲ i k o̞ ɾ ɯ̟ᵝ
グラナダ	ɡ ɯ̟̊ᵝ ɾ a̠ n a̠ d a̠
もこし	m o̞ k o̞ ɕ i
ホニアラ	h o̞ ɲ̟ i a̠ ɾ a̠
むごんでんわ	m ɯ̟ᵝ ɡ õ̞ n d ẽ̞ ɰ̃ ɰᵝ a̠
さんちょう	s ã̠ ɲ̟ t͡ɕ o̞ː
こくご	k o̞ k ɯ̟ᵝ ɡ o̞
ちゅうしゃじょう	t͡ɕ ɨᵝː ɕ a̠ ʑ o̞ː
おれまがる	o̞ ɾ e̞ m a̠ ɡ a̠ ɾ ɯ̟ᵝ
げんしかくぶつりがく	ɡ ẽ̞ ɰ̃ ɕ i̥ k a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ ɾʲ i ɡ a̠ k ɯ̟ᵝ
たいか	t a̠ i k a̠
こんざい	k õ̞ n d͡z a̠ i
あわれむ	a̠ ɰᵝ a̠ ɾ e̞ m ɯ̟ᵝ
うちゅうくうかん	ɯ̟ᵝ t͡ɕ ɨᵝː k ɯ̟ᵝː k ã̠ ɴ
くさはえる	k ɯ̟ᵝ s a̠ h a̠ e̞ ɾ ɯ̟ᵝ
オワコン	o̞ ɰᵝ a̠ k õ̞ ɴ
ウンウンヘキシウム	ɯ̟̃ᵝ ɰ̃ ɯ̟̃ᵝ ɰ̃ h e̞ kʲ i̥ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
くさ	k ɯ̟̊ᵝ s a̠
キョ	kʲ o̞
ああいう	a̠ː i ɯ̟ᵝ
れんたいけい	ɾ ẽ̞ n t a̠ i k e̞ː
かいらくしゅぎ	k a̠ i ɾ a̠ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
かえりのかい	k a̠ e̞ ɾʲ i n o̞ k a̠ i
ホットプレート	h o̞ t̚ t o̞ p ɯ̟ᵝ ɾ e̞ː t o̞
けんちょうしゃ	k ẽ̞ ɲ̟ t͡ɕ o̞ː ɕ a̠
くさい	k ɯ̟̊ᵝ s a̠ i
ニューカマー	ɲ̟ ɯ̟ᵝː k a̠ m a̠ː
やぶれる	j a̠ b ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
プラウ	p ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ
わらわ	ɰᵝ a̠ ɾ a̠ ɰᵝ a̠
ばんこくき	b ã̠ ŋ k o̞ k ɯ̟ᵝ kʲ i
うきうき	ɯ̟ᵝ kʲ i ɯ̟ᵝ kʲ i
よこ	j o̞ k o̞
ひりゅう	ç i ɾʲ ɨᵝː
マヌカハニー	m a̠ n ɯ̟ᵝ k a̠ h a̠ ɲ̟ iː
かちぼし	k a̠ t͡ɕ i b o̞ ɕ i
さまよう	s a̠ m a̠ j o̞ ɯ̟ᵝ
ちゅうかい	t͡ɕ ɨᵝː k a̠ i
ほうりつじむしょ	h o̞ː ɾʲ i t͡s ɨᵝ d͡ʑ i m ɯ̟ᵝ ɕ o̞
こうそふ	k o̞ː s o̞ ɸ ɯ̟ᵝ
よくぼう	j o̞ k ɯ̟ᵝ b o̞ː
せんせいじゅつ	s ẽ̞ ɰ̃ s e̞ː ʑ ɨᵝ t͡s ɨᵝ
とうたつ	t o̞ː t a̠ t͡s ɨᵝ
ルッキズム	ɾ ɯ̟ᵝ k̚ʲ kʲ i z ɨᵝ m ɯ̟ᵝ
じにん	d͡ʑ i ɲ̟ ĩ ɴ
サイボーグ	s a̠ i b o̞ː ɡ ɯ̟ᵝ
パフォーマンス	p a̠ ɸ o̞ː m ã̠ ɰ̃ s ɨᵝ
はいぞく	h a̠ i z o̞ k ɯ̟ᵝ
わらぶき	ɰᵝ a̠ ɾ a̠ b ɯ̟ᵝ kʲ i
オペアンプ	o̞ p e̞ ã̠ m p ɯ̟ᵝ
キックオフ	kʲ i k̚ k ɯ̟ᵝ o̞ ɸ ɯ̟ᵝ
スイス	s ɨᵝ i s ɨᵝ
マルメロ	m a̠ ɾ ɯ̟ᵝ m e̞ ɾ o̞
ファッション	ɸ a̠ ɕː õ̞ ɴ
えんたくかいぎ	ẽ̞ n t a̠ k ɯ̟ᵝ k a̠ i ɡʲ i
フォッサ	ɸ o̞ sː a̠
やくだつ	j a̠ k ɯ̟ᵝ d a̠ t͡s ɨᵝ
はし	h a̠ ɕ i
じゅうしち	d͡ʑ ɨᵝː ɕ i t͡ɕ i
きょうさいくみあい	kʲ o̞ː s a̠ i k ɯ̟ᵝ mʲ i a̠ i
こくえい	k o̞ k ɯ̟ᵝ e̞ː
ファイト	ɸ a̠ i t o̞
びんなんご	bʲ ĩ nː ã̠ ŋ ɡ o̞
まどべ	m a̠ d o̞ b e̞
さいしん	s a̠ i ɕ ĩ ɴ
もく	m o̞ k ɯ̟ᵝ
バーチャル	b a̠ː t͡ɕ a̠ ɾ ɯ̟ᵝ
いかる	i k a̠ ɾ ɯ̟ᵝ
フリーソフトウエア	ɸ ɯ̟ᵝ ɾʲ iː s o̞ ɸ ɯ̟̊ᵝ t o̞ ɯ̟ᵝ e̞ a̠
フォ	ɸ o̞
こうない	k oː n a i
だいもく	d a̠ i m o̞ k ɯ̟ᵝ
ニヒリズム	ɲ̟ i ç i ɾʲ i z ɨᵝ m ɯ̟ᵝ
せんてんてき	s ẽ̞ n t ẽ̞ n t e̞ kʲ i
ワンルーム	ɰᵝ ã̠ n ɾ ɯ̟ᵝː m ɯ̟ᵝ
おやぼね	o̞ j a̠ b o̞ n e̞
ヒヨス	ç i j o̞ s ɨᵝ
じょさんし	d͡ʑ o̞ s ã̠ ɰ̃ ɕ i
しるし	ɕ i ɾ ɯ̟ᵝ ɕ i
しもやけ	ɕ i m o̞ j a̠ k e̞
そうび	s o̞ː bʲ i
モネ	m o̞ n e̞
くそ	k ɯ̟̊ᵝ s o̞
りちぎ	ɾʲ i t͡ɕ i ɡʲ i
サーベルタイガー	s a̠ː b e̞ ɾ ɯ̟ᵝ t a̠ i ɡ a̠ː
とうば	t o̞ː b a̠
えんぼう	ẽ̞ m b o̞ː
らくかんてき	ɾ a̠ k ɯ̟ᵝ k ã̠ n t e̞ kʲ i
ラジオコントロール	ɾ a̠ ʑ i o̞ k õ̞ n t o̞ ɾ o̞ː ɾ ɯ̟ᵝ
ばいしんいん	b a̠ i ɕ ĩ ɰ̃ ĩ ɴ
すいいき	s ɨᵝ i i kʲ i
あしゅ	a̠ ɕ ɨᵝ
あいがん	a̠ i ɡ ã̠ ɴ
にんぽう	ɲ̟ ĩ m p o̞ː
たんかんおり	t ã̠ ŋ k ã̠ ɰ̃ o̞ ɾʲ i
つきる	t͡s ɨᵝ kʲ i ɾ ɯ̟ᵝ
たいしゅうぶんか	t a̠ i ɕ ɨᵝː b ɯ̟̃ᵝ ŋ k a̠
あきた	a̠ kʲ i t a̠
いちじゅのかげいちがのながれもたしょうのえん	i t͡ɕ i ʑ ɨᵝ n o̞ k a̠ ɡ e̞ i t͡ɕ i ɡ a̠ n o̞ n a̠ ɡ a̠ ɾ e̞ m o̞ t a̠ ɕ o̞ː n o̞ ẽ̞ ɴ
ばんしょ	b ã̠ ɰ̃ ɕ o̞
バントケーキ	b ã̠ n t o̞ k e̞ː kʲ i
げいしゃ	ɡ e̞ː ɕ a̠
むつう	m ɯ̟ᵝ t͡s ɨᵝː
およぎ	o̞ j o̞ ɡʲ i
きょみん	kʲ o̞ mʲ ĩ ɴ
よしとも	j o̞ ɕ i t o̞ m o̞
じっしょう	d͡ʑ i ɕː o̞ː
せんてんせい	s ẽ̞ n t ẽ̞ ɰ̃ s e̞ː
しちめんちょう	ɕ i̥ t͡ɕ i m ẽ̞ ɲ̟ t͡ɕ o̞ː
いきうめ	i kʲ i ɯ̟ᵝ m e̞
りゅうきゅう	ɾʲ ɨᵝː kʲ ɨᵝː
ひとざと	ç i t o̞ z a̠ t o̞
だいりはは	d a̠ i ɽ i h a̠ h a̠
ふぜい	ɸ ɯ̟ᵝ z e̞ː
ひそひそごえ	ç i s o̞ ç i s o̞ ɡ o̞ e̞
しゅうしけい	ɕ ɨᵝː ɕ i̥ k e̞ː
あおもの	a̠ o̞ m o̞ n o̞
らいえん	ɾ a̠ i ẽ̞ ɴ
あし	a̠ ɕ i
がらんび	ɡ a̠ ɾ ã̠ m bʲ i
とくしん	t o̞ k ɯ̟ᵝ ɕ ĩ ɴ
どうしょう	d o̞ː ɕ o̞ː
たいきゅうりょく	t a̠ i kʲ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
なかがいにん	n a̠ k a̠ ɡ a̠ i ɲ̟ ĩ ɴ
あくび	a̠ k ɯ̟ᵝ bʲ i
きにち	kʲ i ɲ̟ i t͡ɕ i
しんきょう	ɕ ĩ ŋʲ kʲ o̞ː
ライガー	ɾ a̠ i ɡ a̠ː
く゚	ŋ ɯ̟ᵝ
メーンクーン	m ẽ̞ː ŋ k ɯ̟̃ᵝː ɴ
つうち	t͡s ɨᵝː t͡ɕ i
かくれご	k a̠ k ɯ̟ᵝ ɾ e̞ ɡ o̞
しょめい	ɕ o̞ m e̞ː
うんでいのさ	ɯ̟̃ᵝ n d e̞ː n o̞ s a̠
ひかる	ç i k a̠ ɾ ɯ̟ᵝ
バッテラ	b a̠ t̚ t e̞ ɾ a̠
わかば	ɰᵝ a̠ k a̠ b a̠
せいぶつが	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ ɡ a̠
こっかく	k o̞ k̚ k a̠ k ɯ̟ᵝ
テスラ	t e̞ s ɨᵝ ɾ a̠
しょうせつ	ɕ o̞ː s e̞ t͡s ɨᵝ
ギニーピッグ	ɡʲ i ɲ̟ iː pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
ひかくか	ç i k a̠ k ɯ̟ᵝ k a̠
とびうおざ	t o̞ bʲ i ɯ̟ᵝ o̞ z a̠
マーズ	m a̠ː z ɨᵝ
じょのくち	d͡ʑ o̞ n o̞ k ɯ̟ᵝ t͡ɕ i
プライヤー	p ɯ̟ᵝ ɾ a̠ i j a̠ː
じょうき	d͡ʑ o̞ː kʲ i
ゆうしょう	j ɯ̟ᵝː ɕ o̞ː
リーフブロワー	ɾʲ iː ɸ ɯ̟ᵝ b ɯ̟ᵝ ɾ o̞ ɰᵝ a̠ː
すうし	s ɨᵝː ɕ i
ネックレス	n e̞ k̚ k ɯ̟ᵝ ɾ e̞ s ɨᵝ
ミニブログ	mʲ i ɲ̟ i b ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ
しんにゅうせい	ɕ ĩ ɲ̟ ɲ̟ ɯ̟ᵝː s e̞ː
ちんこう	t͡ɕ ĩ ŋ k o̞ː
ぶんぼうしほう	b ɯ̟̃ᵝ m b o̞ː ɕ i h o̞ː
みしょうぶん	mʲ i ɕ o̞ː b ɯ̟̃ᵝ ɴ
かれい	k a̠ ɾ e̞ː
かくたる	k a̠ k ɯ̟ᵝ t a̠ ɾ ɯ̟ᵝ
ぜいぬき	d͡z e̞ː n ɯ̟ᵝ kʲ i
たとえる	t a̠ t o̞ e̞ ɾ ɯ̟ᵝ
メタ	m e̞ t a̠
ばくはつおん	b a̠ k ɯ̟ᵝ h a̠ t͡s ɨᵝ õ̞ ɴ
こうどうたい	k o̞ː d o̞ː t a̠ i
バッスル	b a̠ sː ɯ̟ᵝ ɾ ɯ̟ᵝ
キュリー	kʲ ɨᵝ ɾʲ iː
ふせい	ɸ ɯ̟ᵝ s e̞ː
フェンス	ɸ ẽ̞ ɰ̃ s ɨᵝ
きんいしゅくせいそくさくこうかしょう	kʲ ĩ ɰ̃ i ɕ ɨᵝ k ɯ̟ᵝ s e̞ː s o̞ k ɯ̟ᵝ s a̠ k ɯ̟ᵝ k o̞ː k a̠ ɕ o̞ː
じゅどうきつえん	d͡ʑ ɨᵝ d o̞ː kʲ i̥ t͡s ɨᵝ ẽ̞ ɴ
そうこばん	s o̞ː k o̞ b ã̠ ɴ
みゃくらく	mʲ a̠ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ
ぜんき	d͡z ẽ̞ ŋʲ kʲ i
ぼうえんきょうざ	b o̞ː ẽ̞ ŋʲ kʲ o̞ː z a̠
アンケート	ã̠ ŋ k e̞ː t o̞
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
たかね	t a̠ k a̠ n e̞
みらいがく	mʲ i ɾ a̠ i ɡ a̠ k ɯ̟ᵝ
せいかがく	s e̞ː k a̠ ɡ a̠ k ɯ̟ᵝ
おでこ	o̞ d e̞ k o̞
イヤリング	i j a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
ヘリコプター	h e̞ ɾʲ i k o̞ p ɯ̟̊ᵝ t a̠ː
つきよみ	t͡s ɨ̥ᵝ kʲ i j o̞ mʲ i
れんこん	ɾ ẽ̞ ŋ k õ̞ ɴ
マゾヒズム	m a̠ z o̞ ç i z ɨᵝ m ɯ̟ᵝ
じゅうなんざい	d͡ʑ ɨᵝː n ã̠ n d͡z a̠ i
よくあさ	j o̞ k ɯ̟ᵝ a̠ s a̠
フェニックス	ɸ e̞ ɲ̟ i k̚ k ɯ̟ᵝ s ɨ̥ᵝ
つくり	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i
ようけいせいじゅく	j o̞ː k e̞ː s e̞ː ʑ ɨᵝ k ɯ̟ᵝ
しばい	ɕ i b a̠ i
インバータ	ĩ m b a̠ː t a̠
しろちょう	ɕ i ɾ o̞ t͡ɕ o̞ː
すく	s ɨᵝ k ɯ̟ᵝ
せみしぐれ	s e̞ mʲ i ɕ i ɡ ɯ̟ᵝ ɾ e̞
りゅ	ɾʲ ɨᵝ
すごい	s ɨᵝ ɡ o̞ i
とくいさき	t o̞ k ɯ̟ᵝ i s a̠ kʲ i
レバレッジ	ɾ e̞ b a̠ ɾ e̞ d̚ d͡ʑ i
とうひょうしゃ	t o̞ː ç o̞ː ɕ a̠
かわぐも	k a̠ ɰᵝ a̠ ɡ ɯ̟ᵝ m o̞
ねから	n e̞ k a̠ ɾ a̠
おおげさ	o̞ː ɡ e̞ s a̠
きんみゃく	kʲ ĩ mʲː a̠ k ɯ̟ᵝ
したごしらえ	ɕ i t a̠ ɡ o̞ ɕ i ɾ a̠ e̞
ひょうばん	ç o̞ː b ã̠ ɴ
ゆうりすう	j ɯ̟ᵝː ɾʲ i s ɨᵝː
すいもん	s ɨᵝ i m õ̞ ɴ
ひんこんしゃ	ç ĩ ŋ k õ̞ ɰ̃ ɕ a̠
でかける	d e̞ k a̠ k e̞ ɾ ɯ̟ᵝ
おしころす	o̞ ɕ i k o̞ ɾ o̞ s ɨᵝ
たおれる	t a̠ o̞ ɾ e̞ ɾ ɯ̟ᵝ
としだま	t o̞ ɕ i d a̠ m a̠
ギター	ɡʲ i t a̠ː
あっ	a̠ ʔ
せつぞくじょし	s e̞ t͡s ɨᵝ z o̞ k ɯ̟ᵝ ʑ o̞ ɕ i
ひんしゅく	ç ĩ ɰ̃ ɕ ɨᵝ k ɯ̟ᵝ
なきうさぎ	n a̠ kʲ i ɯ̟ᵝ s a̠ ɡʲ i
はいいろ	h a̠ iː ɾ o̞
しゅご	ɕ ɨᵝ ɡ o̞
しんせつ	ɕ ĩ ɰ̃ s e̞ t͡s ɨᵝ
なみてんとう	n a̠ mʲ i t ẽ̞ n t o̞ː
きゅうごう	kʲ ɨᵝː ɡ o̞ː
こんろ	k õ̞ n ɾ o̞
ただよう	t a̠ d a̠ j o̞ ɯ̟ᵝ
けつご	k e̞ t͡s ɨᵝ ɡ o̞
うかつ	ɯ̟ᵝ k a̠ t͡s ɨᵝ
およぶ	o̞ j o̞ b ɯ̟ᵝ
くも	k ɯ̟ᵝ m o̞
タンザニア	t ã̠ n d͡z a̠ ɲ̟ i a̠
プディング	p ɯ̟ᵝ dʲ ĩ ŋ ɡ ɯ̟ᵝ
はなことば	h a̠ n a̠ k o̞ t o̞ b a̠
いげた	i ɡ e̞ t a̠
ものもち	m o̞ n o̞ m o̞ t͡ɕ i
こうだん	k o̞ː d ã̠ ɴ
しゅろ	ɕ ɨᵝ ɾ o̞
きんしじゃく	kʲ ĩ ɰ̃ ɕ i ʑ a̠ k ɯ̟ᵝ
カミングアウト	k a̠ mʲ ĩ ŋ ɡ ɯ̟ᵝ a̠ ɯ̟ᵝ t o̞
うちゅうじん	ɯ̟ᵝ t͡ɕ ɨᵝː ʑ ĩ ɴ
くちく	k ɯ̟̊ᵝ t͡ɕ i k ɯ̟ᵝ
そほうか	s o̞ h o̞ː k a̠
ダクト	d a̠ k ɯ̟ᵝ t o̞
めだしぼう	m e̞ d a̠ ɕ i b o̞ː
せつ	s e̞ t͡s ɨᵝ
わん	ɰᵝ ã̠ ɴ
あへがお	a̠ h e̞ ɡ a̠ o̞
にちぶん	ɲ̟ i t͡ɕ i b ɯ̟̃ᵝ ɴ
せいび	s e̞ː bʲ i
きにいる	kʲ i ɲ̟ i i ɾ ɯ̟ᵝ
かんしょう	k ã̠ ɰ̃ ɕ o̞ː
せんでき	s ẽ̞ n d e̞ kʲ i
もちぬし	m o̞ t͡ɕ i n ɯ̟ᵝ ɕ i
ダイヤ	d a̠ i j a̠
アステリスク	a̠ s ɨ̥ᵝ t e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
タジキスタン	t a̠ ʑ i kʲ i s ɨᵝ t ã̠ ɴ
ボクシンググローブ	b o̞ k ɯ̟ᵝ ɕ ĩ ŋ ɡ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ o̞ː b ɯ̟ᵝ
おなかがすく	o̞ n a̠ k a̠ ɡ a̠ s ɨ̥ᵝ k ɯ̟ᵝ
ペーズリー	p e̞ː z ɨᵝ ɾʲ iː
コンビニ	k õ̞ m bʲ i ɲ̟ i
サーカス	s a̠ː k a̠ s ɨᵝ
ねすごす	n e̞ s ɨᵝ ɡ o̞ s ɨᵝ
さら	s a̠ ɾ a̠
なら	n a̠ ɾ a̠
えん	ẽ̞ ɴ
はちょう	h a̠ t͡ɕ o̞ː
じゅうとく	d͡ʑ ɨᵝː t o̞ k ɯ̟ᵝ
いちじるしい	i t͡ɕ i ʑ i ɾ ɯ̟ᵝ ɕ i i
えた	e̞ t a̠
メニュー	m e̞ ɲ̟ ɯ̟ᵝː
せいがいふ	s e̞ː ɡ a̠ i ɸ ɯ̟ᵝ
ホットソース	h o̞ t̚ t o̞ s o̞ː s ɨᵝ
しもせかやく	ɕ i m o̞ s e̞ k a̠ j a̠ k ɯ̟ᵝ
もどす	m o̞ d o̞ s ɨᵝ
にりんしゃ	ɲ̟ i ɾʲ ĩ ɰ̃ ɕ a̠
じせつ	d͡ʑ i s e̞ t͡s ɨᵝ
すいい	s ɨᵝ iː
バーミーズ	b a̠ː mʲ iː z ɨᵝ
あばらぼね	a̠ b a̠ ɾ a̠ b o̞ n e̞
でむかえる	d e̞ m ɯ̟ᵝ k a̠ e̞ ɾ ɯ̟ᵝ
なしとげる	n a̠ ɕ i t o̞ ɡ e̞ ɾ ɯ̟ᵝ
しもにだんかつよう	ɕ i m o̞ ɲ̟ i d ã̠ ŋ k a̠ t͡s ɨᵝ j o̞ː
トータル	t o̞ː t a̠ ɾ ɯ̟ᵝ
ハイビスカス	h a̠ i bʲ i s ɨ̥ᵝ k a̠ s ɨᵝ
ショコラ	ɕ o̞ k o̞ ɾ a̠
はく	h a̠ k ɯ̟ᵝ
いろう	i ɾ o̞ː
フラッシュメモリ	ɸ ɯ̟ᵝ ɾ a̠ ɕː ɯ̟ᵝ m e̞ m o̞ ɾʲ i
にんか	ɲ̟ ĩ ŋ k a̠
したがう	ɕ i t a̠ ɡ a̠ ɯ̟ᵝ
しゅし	ɕ ɨᵝ ɕ i
しんぞう	ɕ ĩ n d͡z o̞ː
ローズクォーツ	ɾ o̞ː z ɨᵝ k ɰᵝ o̞ː t͡s ɨᵝ
げんせん	ɡ ẽ̞ ɰ̃ s ẽ̞ ɴ
ちじょ	t͡ɕ i ʑ o̞
アンダーバー	ã̠ n d a̠ː b a̠ː
トラフィック	t o̞ ɾ a̠ ɸʲ i k̚ k ɯ̟ᵝ
ただに	t a̠ d a̠ ɲ̟ i
デ	d e̞
ごっちゃ	ɡ o̞ t̚ t͡ɕ a̠
くちさき	k ɯ̟ᵝ t͡ɕ i s a̠ kʲ i
ひふびょう	ç i ɸ ɯ̟ᵝ bʲ o̞ː
よう	j o̞ː
はっけつびょう	h a̠ k̚ k e̞ t͡s ɨᵝ bʲ o̞ː
はんきょうていい	h ã̠ ŋʲ kʲ o̞ː t e̞ː i
けんぎ	k ẽ̞ ŋʲ ɡʲ i
びんぼう	bʲ ĩ m b o̞ː
ていおん	t e̞ː õ̞ ɴ
さいこ	s a̠ i k o̞
びゃくだんこう	bʲ a̠ k ɯ̟ᵝ d ã̠ ŋ k o̞ː
みぎ	mʲ i ɡʲ i
ほせつ	h o̞ s e̞ t͡s ɨᵝ
アメシスト	a̠ m e̞ ɕ i s ɨ̥ᵝ t o̞
とみん	t o̞ mʲ ĩ ɴ
ときあかす	t o̞ kʲ i a̠ k a̠ s ɨᵝ
イリュリア	i ɾʲ ɨᵝ ɾʲ i a̠
ものわかり	m o̞ n o̞ ɰᵝ a̠ k a̠ ɾʲ i
あと	a̠ t o̞
くぇ	k ɰᵝ e̞
とびおりる	t o̞ bʲ i o̞ ɾʲ i ɾ ɯ̟ᵝ
おろしがね	o̞ ɾ o̞ ɕ i ɡ a̠ n e̞
こんぺき	k õ̞ m p e̞ kʲ i
きんそくしょり	kʲ ĩ ɰ̃ s o̞ k ɯ̟ᵝ ̥ ɕ o̞ ɾʲ i
とこじらみ	t o̞ k o̞ ʑ i ɾ a̠ mʲ i
グレープフルーツ	ɡ ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝː t͡s ɨᵝ
とちゅう	t o̞ t͡ɕ ɨᵝː
かいてんもくば	k a̠ i t ẽ̞ m m o̞ k ɯ̟ᵝ b a̠
ニダ	ɲ̟ i d a̠
ツバル	t͡s ɨᵝ b a̠ ɾ ɯ̟ᵝ
さいさつ	s a̠ i s a̠ t͡s ɨᵝ
はなから	h a̠ n a̠ k a̠ ɾ a̠
かれら	k a̠ ɾ e̞ ɾ a̠
はぎ	h a̠ ɡʲ i
せっかん	s e̞ k̚ k ã̠ ɴ
たいりつ	t a̠ i ɾʲ i t͡s ɨᵝ
はいにょう	h a̠ i ɲ̟ o̞ː
じゅうよう	d͡ʑ ɨᵝː j o̞ː
ぼうどう	b o̞ː d o̞ː
ないらん	n a̠ i ɾ ã̠ ɴ
くり	k ɯ̟ᵝ ɾʲ i
おくる	o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
さばかん	s a̠ b a̠ k ã̠ ɴ
ティーカップ	tʲ iː k a̠ p̚ p ɯ̟ᵝ
たかはし	t a̠ k a̠ h a̠ ɕ i
ダブルネガ	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ ɡ a̠
ポリノジック	p o̞ ɾʲ i n o̞ ʑ i k̚ k ɯ̟ᵝ
すぐ	s ɨᵝ ɡ ɯ̟ᵝ
ぞっこう	d͡z o̞ k̚ k o̞ː
アシスタントディレクター	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞ dʲ i ɾ e̞ k ɯ̟̊ᵝ t a̠ː
こうぼうにもふでのあやまり	k o̞ː b o̞ː ɲ̟ i m o̞ ɸ ɯ̟ᵝ d e̞ n o̞ a̠ j a̠ m a̠ ɾʲ i
えんえき	ẽ̞ ɴ e̞ kʲ i
ほんしつ	h õ̞ ɰ̃ ɕ i̥ t͡s ɨᵝ
ちのう	t͡ɕ i n o̞ː
ばんかじゅ	b ã̠ ŋ k a̠ ʑ ɨᵝ
ほっけ	h o̞ k̚ k e̞
いとい	i t o̞ i
けなす	k e̞ n a̠ s ɨᵝ
ぶかん	b ɯ̟ᵝ k ã̠ ɴ
うちよせる	ɯ̟ᵝ t͡ɕ i j o̞ s e̞ ɾ ɯ̟ᵝ
らい	ɾ a̠ i
かくしゅう	k a̠ k ɯ̟ᵝ ɕ ɨᵝː
しんと	ɕ i ɴ t o
こうざん	k o̞ː z ã̠ ɴ
つきまとう	t͡s ɨᵝ kʲ i m a̠ t o̞ ɯ̟ᵝ
かがみる	k a̠ ɡ a̠ mʲ i ɾ ɯ̟ᵝ
ネーデルランド	n e̞ː d e̞ ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
じが	d͡ʑ i ɡ a̠
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
おもてむき	o̞ m o̞ t e̞ m ɯ̟ᵝ kʲ i
やっぱ	j a̠ p̚ p a̠
ネスト	n e̞ s ɨ̥ᵝ t o̞
ギョ	ɡʲ o̞
ぐんばいうちわ	ɡ ɯ̟̃ᵝ m b a̠ i ɯ̟ᵝ t͡ɕ i ɰᵝ a̠
けいりゅうし	k e̞ː ɾʲ ɨᵝː ɕ i
のせる	n o̞ s e̞ ɾ ɯ̟ᵝ
ははうえ	h a̠ h a̠ ɯ̟ᵝ e̞
りゅうおう	ɾʲ ɨᵝː o̞ː
いんげん	ĩ ŋ ɡ ẽ̞ ɴ
しゅうえん	ɕ ɨᵝː ẽ̞ ɴ
バックアップ	b a̠ k̚ k ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
レター	ɾ e̞ t a̠ː
まくらことば	m a̠ k ɯ̟ᵝ ɾ a̠ k o̞ t o̞ b a̠
きらめく	kʲ i ɾ a̠ m e̞ k ɯ̟ᵝ
とういこうぶん	t o̞ː i k o̞ː b ɯ̟̃ᵝ ɴ
さとう	s a̠ t o̞ː
つうぞく	t͡s ɨᵝː z o̞ k ɯ̟ᵝ
ぶんてん	b ɯ̟̃ᵝ n t ẽ̞ ɴ
きょうむ	kʲ o̞ː m ɯ̟ᵝ
にやける	ɲ̟ i j a̠ k e̞ ɾ ɯ̟ᵝ
アンプル	ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
いっしんどうたい	i ɕː ĩ n d o̞ː t a̠ i
せいてい	s e̞ː t e̞ː
シー	ɕ iː
きみょう	kʲ i mʲ o̞ː
こうとう	k o̞ː t o̞ː
くつ	k ɯ̟ᵝ t͡s ɨᵝ
ハンバーガー	h ã̠ m b a̠ː ɡ a̠ː
にくばなれ	ɲ̟ i k ɯ̟ᵝ b a̠ n a̠ ɾ e̞
しゅりけん	ɕ ɨᵝ ɾʲ i k ẽ̞ ɴ
ホワイトデー	h o̞ ɰᵝ a̠ i t o̞ d e̞ː
おてんば	o̞ t ẽ̞ m b a̠
たいく	t a̠ i k ɯ̟ᵝ
なげだす	n a̠ ɡ e̞ d a̠ s ɨᵝ
かねめ	k a̠ n e̞ m e̞
ないやしゅ	n a̠ i j a̠ ɕ ɨᵝ
ようし	j o̞ː ɕ i
ひなた	ç i n a̠ t a̠
じ	d͡ʑ i
ジロ	d͡ʑ i ɾ o̞
おつ	o̞ t͡s ɨᵝ
いせい	i s e̞ː
ケチャップ	k e̞ t͡ɕ a̠ p̚ p ɯ̟ᵝ
けいこぎ	k e̞ː k o̞ ɡʲ i
りゃ	ɾʲ a̠
プラゴミ	p ɯ̟ᵝ ɾ a̠ ɡ o̞ mʲ i
サインオフ	s a̠ ĩ ɰ̃ o̞ ɸ ɯ̟ᵝ
