らち	ɾ a t͡ɕ i
ほんしつ	h õ ɰ ɕ i t͡s ɨ
ちのう	t͡ɕ i n o
ばんかじゅ	b ã ŋ k a ʑ ɨ
ほっけ	h o k̚ k e
いとい	i t o i
けなす	k e n a s ɨ
ぶかん	b ɯ k ã ɴ
うちよせる	ɯ t͡ɕ i j o s e ɾ ɯ
らい	ɾ a i
かくしゅう	k a k ɯ ɕ ɨ
しんと	ɕ i ɴ t o
こうざん	k o z ã ɴ
つきまとう	t͡s ɨ kʲ i m a t o ɯ
かがみる	k a ɡ a mʲ i ɾ ɯ
ネーデルランド	n e d e ɾ ɯ ɾ ã n d o
じが	d͡ʑ i ɡ a
あげる	a ɡ e ɾ ɯ
おもてむき	o m o t e m ɯ kʲ i
やっぱ	j a p̚ p a
ネスト	n e s ɨ t o
ギョ	ɡʲ o
ぐんばいうちわ	ɡ ɯ m b a i ɯ t͡ɕ i ɰ a
けいりゅうし	k e ɾʲ ɨ ɕ i
のせる	n o s e ɾ ɯ
ははうえ	h a h a ɯ e
りゅうおう	ɾʲ ɨ o
いんげん	ĩ ŋ ɡ ẽ ɴ
しゅうえん	ɕ ɨ ẽ ɴ
バックアップ	b a k̚ k ɯ a p̚ p ɯ
レター	ɾ e t a
まくらことば	m a k ɯ ɾ a k o t o b a
きらめく	kʲ i ɾ a m e k ɯ
とういこうぶん	t o i k o b ɯ ɴ
さとう	s a t o
つうぞく	t͡s ɨ z o k ɯ
ぶんてん	b ɯ n t ẽ ɴ
きょうむ	kʲ o m ɯ
にやける	ɲ i j a k e ɾ ɯ
アンプル	ã m p ɯ ɾ ɯ
いっしんどうたい	i ɕ ĩ n d o t a i
せいてい	s e t e
シー	ɕ i
きみょう	kʲ i mʲ o
こうとう	k o t o
くつ	k ɯ t͡s ɨ
ハンバーガー	h ã m b a ɡ a
にくばなれ	ɲ i k ɯ b a n a ɾ e
しゅりけん	ɕ ɨ ɾʲ i k ẽ ɴ
ホワイトデー	h o ɰ a i t o d e
おてんば	o t ẽ m b a
たいく	t a i k ɯ
なげだす	n a ɡ e d a s ɨ
かねめ	k a n e m e
ないやしゅ	n a i j a ɕ ɨ
ようし	j o ɕ i
ひなた	ç i n a t a
じ	d͡ʑ i
ジロ	d͡ʑ i ɾ o
おつ	o t͡s ɨ
いせい	i s e
ケチャップ	k e t͡ɕ a p̚ p ɯ
けいこぎ	k e k o ɡʲ i
りゃ	ɾʲ a
プラゴミ	p ɯ ɾ a ɡ o mʲ i
サインオフ	s a ĩ ɰ o ɸ ɯ
ぽつねん	p o t͡s ɨ n ẽ ɴ
タイムトラベル	t a i m ɯ t o ɾ a b e ɾ ɯ
こうかおん	k o k a õ ɴ
しんけいしつ	ɕ ĩ ŋ k e ɕ i t͡s ɨ
はいすい	h a i s ɨ i
いらつめ	i ɾ a t͡s ɨ m e
ひとつ	ç i t o t͡s ɨ
ていしょう	t e ɕ o
にゅうりん	ɲ ɯ ɾʲ ĩ ɴ
ニュ	ɲ ɯ
もちあげる	m o t͡ɕ i a ɡ e ɾ ɯ
きぬいと	kʲ i n ɯ i t o
じょう	d͡ʑ o
とうちょうき	t o t͡ɕ o kʲ i
ここ	k o k o
タックスヘイブン	t a k̚ k ɯ s ɨ h e b ɯ ɴ
ことみ	k o t o mʲ i
すずなり	s ɨ z ɨ n a ɾʲ i
よあけ	j o a k e
にじます	ɲ i ʑ i m a s ɨ
デスボ	d e s ɨ b o
ほうりこむ	h o ɾʲ i k o m ɯ
けいべつ	k e b e t͡s ɨ
ルテチウム	ɾ ɯ t e t͡ɕ i ɯ m ɯ
れんらくいん	ɾ ẽ n ɾ a k ɯ ĩ ɴ
ゆるめる	j ɯ ɾ ɯ m e ɾ ɯ
おぼつかず	o b o t͡s ɨ k a z ɨ
クヮ	k ɰ a
めずらしい	m e z ɨ ɾ a ɕ i
グレイシア	ɡ ɯ ɾ e ɕ i a
スリーディープリンター	s ɨ ɾʲ i dʲ i p ɯ ɾʲ ĩ n t a
がいやしゅ	ɡ a i j a ɕ ɨ
はいこうじょう	h a i k o ʑ o
しつどくしょう	ɕ i t͡s ɨ d o k ɯ ɕ o
もくせい	m o k ɯ s e
けとばす	k e t o b a s ɨ
しゃもじ	ɕ a m o ʑ i
ふかまる	ɸ ɯ k a m a ɾ ɯ
あらゆる	a ɾ a j ɯ ɾ ɯ
ちゅうさ	t͡ɕ ɨ s a
しゅうはすう	ɕ ɨ h a s ɨ
いたずら	i t a z ɨ ɾ a
ながさきけん	n a ɡ a s a kʲ i k ẽ ɴ
もん	m õ ɴ
ブリーフィング	b ɯ ɾʲ i ɸʲ ĩ ŋ ɡ ɯ
サマリウム	s a m a ɾʲ i ɯ m ɯ
すいやく	s ɨ i j a k ɯ
ぶつりがくしゃ	b ɯ t͡s ɨ ɾʲ i ɡ a k ɯ ɕ a
あなたたち	a n a t a t a t͡ɕ i
よみじ	j o mʲ i ʑ i
とくべつきゅうこう	t o k ɯ b e t͡s ɨ kʲ ɨ k o
ホ	h o
ドキュメント	d o kʲ ɨ m ẽ n t o
へんさい	h ẽ ɰ s a i
せいきか	s e kʲ i k a
のうか	n o k a
やさしい	j a s a ɕ i i
シップ	ɕ i p̚ p ɯ
コルサージュ	k o ɾ ɯ s a ʑ ɨ
りゅうかすいそ	ɾʲ ɨ k a s ɨ i s o
しつがいこつ	ɕ i t͡s ɨ ɡ a i k o t͡s ɨ
ごうけい	ɡ o k e
びっくり	bʲ i k̚ k ɯ ɾʲ i
レクイエム	ɾ e k ɯ i e m ɯ
あまぎ	a m a ɡʲ i
はいふ	h a i ɸ ɯ
ロー	ɾ o
ちくぜん	t͡ɕ i k ɯ z ẽ ɴ
しゅたい	ɕ ɨ t a i
つくえ	t͡s ɨ k ɯ e
はしり	h a ɕ i ɾʲ i
よこぐみ	j o k o ɡ ɯ mʲ i
みゃくうつ	mʲ a k ɯ t͡s ɨ
きこうがく	kʲ i k o ɡ a k ɯ
なみだあめ	n a mʲ i d a a m e
ユウロピウム	j ɯ ɾ o pʲ i ɯ m ɯ
そつぎょうしき	s o t͡s ɨ ɡʲ o ɕ i kʲ i
かげろう	k a ɡ e ɾ o
きょうかんかく	kʲ o k ã ŋ k a k ɯ
たいほじょう	t a i h o ʑ o
れいじょう	ɾ e ʑ o
きゃくしつ	kʲ a k ɯ ɕ i t͡s ɨ
かおう	k a o
じゅごん	d͡ʑ ɨ ɡ õ ɴ
じんずう	d͡ʑ i ɴ d͡z u͍
おき	o kʲ i
まきぞえをくう	m a kʲ i z o e o k ɯ
アキンボ	a kʲ ĩ m b o
たつ	t a t͡s ɨ
アロエ	a ɾ o e
ばんそうこう	b ã ɰ s o k o
おとこがすたる	o t o k o ɡ a s ɨ t a ɾ ɯ
ちょうきょり	t͡ɕ o kʲ o ɾʲ i
ちゅうしょうが	t͡ɕ ɨ ɕ o ɡ a
あらかん	a ɾ a k ã ɴ
イリオモテヤマネコ	i ɾʲ i o m o t e j a m a n e k o
こんちくしょう	k õ ɲ t͡ɕ i k ɯ ɕ o
ほもめん	h o m o m ẽ ɴ
だんわ	d ã ɰ ɰ a
きんせつ	kʲ ĩ ɰ s e t͡s ɨ
もっかい	m o k̚ k a i
パトリック	p a t o ɾʲ i k̚ k ɯ
ちゅ	t͡ɕ ɨ
けんきゅうしつ	k ẽ ŋʲ kʲ ɨ ɕ i t͡s ɨ
おにあそび	o ɲ i a s o bʲ i
はしゅ	h a ɕ ɨ
てんかざい	t ẽ ŋ k a z a i
へをひる	h e o ç i ɾ ɯ
くじら	k ɯ ʑ i ɾ a
しんがた	ɕ ĩ ŋ ɡ a t a
うぉ	ɰ o
ふんかこう	ɸ ɯ ŋ k a k o
しんげんち	ɕ ĩ ŋ ɡ ẽ ɲ t͡ɕ i
なつやすみ	n a t͡s ɨ j a s ɨ mʲ i
かいへい	k a i h e
エルサレム	e ɾ ɯ s a ɾ e m ɯ
ごしきひわ	ɡ o ɕ i kʲ i ç i ɰ a
ふたり	ɸ ɯ t a ɾʲ i
こんせつ	k õ ɰ s e t͡s ɨ
しらせ	ɕ i ɾ a s e
らくせん	ɾ a k ɯ s ẽ ɴ
せいきまつ	s e kʲ i m a t͡s ɨ
けびょう	k e bʲ o
ヨーグルト	j o ɡ ɯ ɾ ɯ t o
カスタードプディング	k a s ɨ t a d o p ɯ dʲ ĩ ŋ ɡ ɯ
ビューグル	bʲ ɨ ɡ ɯ ɾ ɯ
ひかえしつ	ç i k a e ɕ i t͡s ɨ
へんぼう	h ẽ m b o
ダート	d a t o
しゅくぶん	ɕ ɨ k ɯ b ɯ ɴ
しっけいせんばん	ɕ i k̚ k e s ẽ m b ã ɴ
ちすじ	t͡ɕ i s ɨ ʑ i
おおきい	o kʲ i
きけんすいいき	kʲ i k ẽ ɰ s ɨ i i kʲ i
しげん	ɕ i ɡ ẽ ɴ
インタビュアー	ĩ n t a bʲ ɨ a
はんけつぶん	h ã ŋ k e t͡s ɨ b ɯ ɴ
デート	d e t o
せいろんり	s e ɾ õ n ɾʲ i
きょうじゃくあくせんと	kʲ o ʑ a k ɯ a k ɯ s ẽ n t o
リストカット	ɾʲ i s ɨ t o k a t̚ t o
けいこうひょうじかん	k e k o ç o ʑ i k ã ɴ
よみくだし	j o mʲ i k ɯ d a ɕ i
サスティン	s a s ɨ tʲ ĩ ɴ
おい	o i
せんべつ	s ẽ m b e t͡s ɨ
かじき	k a ʑ i kʲ i
のうど	n o d o
せかいてき	s e k a i t e kʲ i
スクラッチチケット	s ɨ k ɯ ɾ a t̚ t͡ɕ i t͡ɕ i k e t̚ t o
つうがくかばん	t͡s ɨ ɡ a k ɯ k a b ã ɴ
ラクサ	ɾ a k ɯ s a
とっとと	t o t̚ t o t o
みずきり	mʲ i z ɨ kʲ i ɾʲ i
フリップフロップ	ɸ ɯ ɾʲ i p̚ p ɯ ɸ ɯ ɾ o p̚ p ɯ
バドミントン	b a d o mʲ ĩ n t õ ɴ
フェイク	ɸ e k ɯ
こうせっこう	k o s e k̚ k o
えんどん	ẽ n d õ ɴ
なにこれ	n a ɲ i k o ɾ e
ばいきゃく	b a i kʲ a k ɯ
いぬがみ	i n ɯ ɡ a mʲ i
カンタータ	k ã n t a t a
じなん	d͡ʑ i n ã ɴ
はっこう	h a k̚ k o
アーティチョーク	a tʲ i t͡ɕ o k ɯ
かんかく	k ã ŋ k a k ɯ
なんこつ	n ã ŋ k o t͡s ɨ
ぼご	b o ɡ o
ヌガー	n ɯ ɡ a
こうちゃくご	k o t͡ɕ a k ɯ ɡ o
ブリティッシュコロンビア	b ɯ ɾʲ i tʲ i ɕ ɯ  k o ɾ õ m bʲ i a
したさきさんずん	ɕ i t a s a kʲ i s ã n d͡z ɨ ɴ
しゅみ	ɕ ɨ mʲ i
てんねんとう	t ẽ n ẽ n t o
せっこつ	s e k̚ k o t͡s ɨ
かいぎしつ	k a i ɡʲ i ɕ i t͡s ɨ
ボリューミー	b o ɾʲ ɨ mʲ i
さいか	s a i k a
ごうきん	ɡ o kʲ ĩ ɴ
イクメン	i k ɯ m ẽ ɴ
しろきくらげ	ɕ i ɾ o kʲ i k ɯ ɾ a ɡ e
ほちょうき	h o t͡ɕ o kʲ i
エンドルフィン	ẽ n d o ɾ ɯ ɸʲ ĩ ɴ
バージョン	b a ʑ õ ɴ
みがわり	mʲ i ɡ a ɰ a ɾʲ i
おうちょう	o t͡ɕ o
ふくえん	ɸ ɯ k ɯ ẽ ɴ
むじんえき	m ɯ ʑ ĩ ɰ e kʲ i
ばれん	b a ɾ ẽ ɴ
らくご	ɾ a k ɯ ɡ o
しずまる	ɕ i z ɨ m a ɾ ɯ
ピチカート	pʲ i t͡ɕ i k a t o
カップル	k a p̚ p ɯ ɾ ɯ
はまる	h a m a ɾ ɯ
あじみ	a ʑ i mʲ i
かずお	k a z ɨ o
ちゅうだん	t͡ɕʲ u͍ d a ɴ
ボイス	b o i s ɨ
あかれんが	a k a ɾ ẽ ŋ ɡ a
とうばつ	t o b a t͡s ɨ
せっさく	s e s a k ɯ
こうていてき	k o t e t e kʲ i
ちょうげんじつしゅぎ	t͡ɕ o ɡ ẽ ɲ d͡ʑ i t͡s ɨ  ɕ ɨ ɡʲ i
しんあん	ɕ ĩ ɰ ã ɴ
へんせい	h ẽ ɰ s e
ぐうぞう	ɡ ɯ z o
きょうげき	kʲ o ɡ e kʲ i
かしこまりました	k a ɕ i k o m a ɾʲ i m a ɕ i t a
しけん	ɕ i k ẽ ɴ
けいじか	k e ʑ i k a
ワルツ	ɰ a ɾ ɯ t͡s ɨ
どうりょう	d o ɾʲ o
オーバー	o b a
こめかみ	k o m e k a mʲ i
もや	m o j a
ありゅうさん	a ɾʲ ɨ s ã ɴ
マンホール	m ã ɰ h o ɾ ɯ
もえぶた	m o e b ɯ t a
めいおうせい	m e o s e
でんちゅう	d ẽ ɲ t͡ɕ ɨ
べらべら	b e ɾ a b e ɾ a
きゅうかん	kʲ ɨ k ã ɴ
ひか	ç i k a
いくた	i k ɯ t a
ごきょう	ɡ o kʲ o
もんしろちょう	m õ ɰ ɕ i ɾ o t͡ɕ o
オオミチバシリ	o mʲ i t͡ɕ i b a ɕ i ɾʲ i
にひゃくご	ɲ i ç a k ɯ ɡ o
おいちらす	o i t͡ɕ i ɾ a s ɨ
ミツアナグマ	mʲ i t͡s ɨ a n a ɡ ɯ m a
ふんたい	ɸ ɯ n t a i
てきおう	t e kʲ i o
キト	kʲ i t o
もうか	m o k a
めっちゃ	m e t̚ t͡ɕ a
はつあん	h a t͡s ɨ ã ɴ
すいじ	s ɨ i ʑ i
はやがてん	h a j a ɡ a t ẽ ɴ
イケボイス	i k e b o i s ɨ
コロニー	k o ɾ o ɲ i
しょくぶつじょうたい	ɕ o k ɯ b ɯ t͡s ɨ d͡ʑ o t a i
たげんご	t a ɡ ẽ ŋ ɡ o
こうじゅつしけん	k o ʑ ɨ t͡s ɨ ɕ i k ẽ ɴ
おたんじょうびおめでとうございます	o t ã ɲ d͡ʑ o bʲ i o m e d e t o ɡ o z a i m a s ɨ
てあし	t e a ɕ i
いちごんほうおん	i t͡ɕ i ɡ õ ɰ h o õ ɴ
ヘ	h e
おんきょうりょうし	õ ŋʲ kʲ o ɾʲ o ɕ i
つかい	t͡s ɨ k a i
はつがん	h a t͡s ɨ ɡ ã ɴ
ばにゅう	b a ɲ ɯ
しゃきょう	ɕ a kʲ o
よそく	j o s o k ɯ
ふびん	ɸ ɯ bʲ ĩ ɴ
つべ	t͡s ɨ b e
ホテル	h o t e ɾ ɯ
えひめ	e ç i m e
いむ	i m ɯ
メドレー	m e d o ɾ e
おあずけ	o a z ɨ k e
たかよし	t a k a j o ɕ i
イマーム	i m a m ɯ
まんえい	m ã ɰ e
たくわえる	t a k ɯ ɰ a e ɾ ɯ
かかげる	k a k a ɡ e ɾ ɯ
ストーマ	s ɨ t o m a
なめる	n a m e ɾ ɯ
さなだ	s a n a d a
きしょうてんけつ	kʲ i ɕ o t ẽ ŋ k e t͡s ɨ
タケノコ	t a k e n o k o
せいたいかいぼう	s e t a i k a i b o
かつぜつ	k a t͡s ɨ z e t͡s ɨ
おとながい	o t o n a ɡ a i
かんさつ	k ã ɰ s a t͡s ɨ
ちくでんき	t͡ɕ i k ɯ d ẽ ŋʲ kʲ i
こうらいにんじん	k o ɾ a i ɲ ĩ ɲ d͡ʑ ĩ ɴ
しょどう	ɕ o d o
ユーカリ	j ɯ k a ɾʲ i
よる	j o ɾ ɯ
しんじゅ	ɕ ĩ ɲ d͡ʑ ɨ
すざく	s ɨ z a k ɯ
ひろい	ç i ɾ o i
とうごう	t o ɡ o
じさつてん	d͡ʑ i s a t͡s ɨ t ẽ ɴ
ヷ	b a
おうれん	o ɾ ẽ ɴ
こすい	k o s ɨ i
ひらび	ç i ɾ a bʲ i
あいがんどうぶつ	a i ɡ ã n d o b ɯ t͡s ɨ
いうはやすくおこなうはかたし	i ɯ ɰ a j a s ɨ k ɯ o k o n a ɯ ɰ a k a t a ɕ i
はずかしい	h a z ɨ k a ɕ i
きんがしんねん	kʲ ĩ ŋ ɡ a ɕ ĩ n ẽ ɴ
ヴォ	b o
キーンコーンカーンコーン	kʲ ĩ ŋ k õ ŋ k ã ŋ k õ ɴ
ほんの	h õ n n o
みんしゅか	mʲ ĩ ɰ ɕ ɨ k a
イッテルビウム	i t̚ t e ɾ ɯ bʲ i ɯ m ɯ
ばいかほう	b a i k a h o
きもだめし	kʲ i m o d a m e ɕ i
きょうじゅ	kʲ o ʑ ɨ
ふけしゅう	ɸ ɯ k e ɕ ɨ
コンビネーション	k õ m bʲ i n e ɕ õ ɴ
マスター	m a s ɨ t a
うちゅうたんさき	ɯ t͡ɕ ɨ t ã ɰ s a kʲ i
ひょうごう	ç o ɡ o
キルト	kʲ i ɾ ɯ t o
でんあつけい	d ẽ ɰ a t͡s ɨ k e
しょじゅん	ɕ o ʑ ɨ ɴ
かつやく	k a t͡s ɨ j a k ɯ
ヤハウェ	j a h a ɰ e
あゆこ	a j ɯ k o
れいきゅうしゃ	ɾ e kʲ ɨ ɕ a
そんぼう	s õ m b o
からすざ	k a ɾ a s ɨ z a
ごくひ	ɡ o k ɯ ç i
ましん	m a ɕ ĩ ɴ
あまた	a m a t a
きょうねん	kʲ o n ẽ ɴ
ディ	dʲ i
ふようりょう	ɸ ɯ j o ɾʲ o
そうず	s o z ɨ
サイロ	s a i ɾ o
テリア	t e ɾʲ i a
プロパン	p ɯ ɾ o p ã ɴ
のみかい	n o mʲ i k a i
たいきょく	t ä i k j o k ɯ
どさんこ	d o s ã ŋ k o
まえぶれ	m a e b ɯ ɾ e
ささやく	s a s a j a k ɯ
みゃ	mʲ a
てんいむほう	t ẽ ɰ i m ɯ h o
はみ	h a mʲ i
ハーブティー	h a b ɯ tʲ i
げ	ɡ e
ひな	ç i n a
はめたおす	h a m e t a o s ɨ
クオーター	k ɯ o t a
びぶん	bʲ i b ɯ ɴ
しょうらい	ɕ o ɾ a i
しょた	ɕ o t a
ばくしょう	b a k ɯ ɕ o
さける	s a k e ɾ ɯ
インデヤン	ĩ n d e j ã ɴ
いわのぼり	i ɰ a n o b o ɾʲ i
おんしつ	õ ɰ ɕ i t͡s ɨ
おんな	õ n a
ブルマ	b ɯ ɾ ɯ m a
ほんや	h õ ɰ j a
びいしき	bʲ i ɕ i kʲ i
ミント	mʲ ĩ n t o
ぼんぷ	b õ m p ɯ
よつんばい	j o t͡s ɨ m b a i
もったいない	m o t̚ t a i n a i
ピン	pʲ ĩ ɴ
けんしん	k ẽ ɰ ɕ ĩ ɴ
ややこしい	j a j a k o ɕ i
ドア	d o a
すき	s ɨ kʲ i
おれさま	o ɾ e s a m a
しょうどう	ɕ o d o
こもりぐま	k o m o ɾʲ i ɡ ɯ m a
シャ	ɕ a
サラブレッド	s a ɾ a b ɯ ɾ e d̚ d o
けいさつこっか	k e s a t͡s ɨ k o k̚ k a
かいきゃく	k a i kʲ a k ɯ
ドラキュラ	d o ɾ a kʲ ɨ ɾ a
せきさくどうぶつ	s e kʲ i s a k ɯ d o b ɯ t͡s ɨ
げんちご	ɡ ẽ ɲ t͡ɕ i ɡ o
さくてき	s a k ɯ t e kʲ i
ボディー	b o dʲ i
てづつ	t e z ɨ t͡s ɨ
たぐる	t a ɡ ɯ ɾ ɯ
じゆう	d͡ʑ i j ɯ
よにげ	j o ɲ i ɡ e
てっき	t e k̚ʲ kʲ i
ダム	d a m ɯ
さしつかえ	s a ɕ i t͡s ɨ k a e
しろうり	ɕ i ɾ o ɯ ɾʲ i
ちょうしんりがく	t͡ɕ o ɕ ĩ n ɾʲ i ɡ a k ɯ
まけいぬ	m a k e n ɯ
ぬれてであわ	n ɯ ɾ e t e d e a ɰ a
コンポーネント	k õ m p o n ẽ n t o
しょうか	ɕ o k a
あがく	a ɡ a k ɯ
うでまえ	ɯ d e m a e
ひっさつわざ	ç i s a t͡s ɨ ɰ a z a
はいがん	h a i ɡ ã ɴ
つき	t͡s ɨ kʲ i
くろう	k ɯ ɾ o
パレス	p a ɾ e s ɨ
はぐ	h a ɡ ɯ
あかはらいもり	a k a h a ɾ a i m o ɾʲ i
インストゥルメンタル	ĩ ɰ s ɨ t ɯ ɾ ɯ m ẽ n t a ɾ ɯ
スウェットシャツ	s ɨ ɰ e t̚ t o ɕ a t͡s ɨ
はつはる	h a t͡s ɨ h a ɾ ɯ
むこう	m ɯ k o
しょじょこうかい	ɕ o ʑ o k o k a i
せいりょういんりょう	s e ɾʲ o ĩ n ɾʲ o
せんきょう	s ẽ ŋʲ kʲ o
キューピッド	kʲ ɨ pʲ i d̚ d o
ゲーム	ɡ e m ɯ
け゚	ŋ e
バスト	b a s ɨ t o
リュ	ɾʲ ɨ
いろあざやか	i ɾ o a z a j a k a
けらい	k e ɾ a i
たいようじつ	t a i j o ʑ i t͡s ɨ
タチ	t a t͡ɕ i
アフガニスタン	a ɸ ɯ ɡ a ɲ i s ɨ t ã ɴ
はじめ	h a ʑ i m e
シャープ	ɕ a p ɯ
まぼろし	m a b o ɾ o ɕ i
かごう	k a ɡ o
ばんゆういんりょく	b ã ɰ j ɯ ĩ n ɾʲ o k ɯ
たいだん	t a i d ã ɴ
わけへだて	ɰ a k e h e d a t e
あるきみこ	a ɾ ɯ kʲ i mʲ i k o
ちしまれっとう	t͡ɕ i ɕ i m a ɾ e t̚ t o
ワークショップ	ɰ a k ɯ ɕ o p̚ p ɯ
みょうが	mʲ o ɡ a
ぬりぐすり	n ɯ ɾʲ i ɡ ɯ s ɨ ɾʲ i
フランシウム	ɸ ɯ ɾ ã ɰ ɕ i ɯ m ɯ
うれのこり	ɯ ɾ e n o k o ɾʲ i
きんもつ	kʲ ĩ m o t͡s ɨ
こくる	k o k ɯ ɾ ɯ
れんらくせん	ɾ ẽ n ɾ a k ɯ s ẽ ɴ
りゅうせい	ɾʲ ɨ s e
らんきん	ɾ ã ŋʲ kʲ ĩ ɴ
ばせい	b a s e
およぐ	o j o ɡ ɯ
せっすい	s e s ɯ i
まるのみ	m a ɾ ɯ n o mʲ i
いがらし	i ɡ a ɾ a ɕ i
ノー	n o
たけだ	t a k e d a
もろこし	m o ɾ o k o ɕ i
ささ	s a s a
めしあがる	m e ɕ i a ŋ a ɾ ɯ
せいぶつへいき	s e b ɯ t͡s ɨ h e kʲ i
こくばん	k o k ɯ b ã ɴ
つぶやき	t͡s ɨ b ɯ j a kʲ i
ようずみ	j o z ɨ mʲ i
チャウ・チャウ	t͡ɕ a ɯ t͡ɕ a ɯ
レベルアップ	ɾ e b e ɾ ɯ a p̚ p ɯ
みる	mʲ i ɾ ɯ
ギャ	ɡʲ a
いろん	i ɾ õ ɴ
おやしらず	o j a ɕ i ɾ a z ɨ
こうぞく	k o z o k ɯ
きっきん	kʲ i k̚ʲ kʲ ĩ ɴ
にじむ	ɲ i ʑ i m ɯ
はんげんじょうりく	h ã ŋ ɡ ẽ ɲ d͡ʑ o ɾʲ i k ɯ
いれかわる	i ɾ e k a ɰ a ɾ ɯ
たいくん	t a i k ɯ ɴ
モガ	m o ɡ a
イオタ	i o t a
ガンビア	ɡ ã m bʲ i a
ユートピア	j ɯ t o pʲ i a
ひきょう	ç i kʲ o
びがく	bʲ i ɡ a k ɯ
ようび	j o bʲ i
すんか	s ɨ ŋ k a
はんいご	h ã ɰ i ɡ o
ぎゅっと	ɡʲ ɨ t̚ t o
プリティー	p ɯ ɾʲ i tʲ i
ひろし	ç i ɾ o ɕ i
そうかん	s o k ã ɴ
ウォークマン	ɰ o k ɯ m ã ɴ
きんぎょ	kʲ ĩ ŋʲ ɡʲ o
せっせと	s e s e t o
あいきどう	a i kʲ i d o
ていもう	t e m o
かんさ	k ã ɰ s a
がいする	ɡ a i s ɨ ɾ ɯ
おぼつかない	o b o t͡s ɨ k a n a i
ベクレル	b e k ɯ ɾ e ɾ ɯ
ぶんしょうだい	b ɯ ɰ ɕ o d a i
ていしん	t e ɕ ĩ ɴ
きまり	kʲ i m a ɾʲ i
ふうしが	ɸ ɯ ɕ i ɡ a
さばく	s a b a k ɯ
ものがたり	m o n o ɡ a t a ɾʲ i
くうきょ	k ɯ kʲ o
かりにも	k a ɾʲ i ɲ i m o
まっぴらごめん	m a p̚ʲ pʲ i ɾ a ɡ o m ẽ ɴ
ていきん	t e kʲ ĩ ɴ
じしゃく	d͡ʑ i ɕ a k ɯ
すっかり	s ɨ k̚ k a ɾʲ i
しょしょ	ɕ o ɕ o
サントメ・プリンシペ	s ã n t o m e p ɯ ɾʲ ĩ ɰ ɕ i p e
ダウンロード	d a ɯ n ɾ o d o
まにあう	m a ɲ i a ɯ
スポット	s ɨ p o t̚ t o
デニール	d e ɲ i ɾ ɯ
わき	ɰ a kʲ i
てつづき	t e t͡s ɨ z ɨ kʲ i
まじわる	m a ʑ i ɰ a ɾ ɯ
れっせき	ɾ e s e kʲ i
にんしん	ɲ ĩ ɰ ɕ ĩ ɴ
しょうじんりょうり	ɕ o ʑ ĩ n ɾʲ o ɾʲ i
ひていてき	ç i t e t e kʲ i
よそめ	j o s o m e
ねんがっぴ	n ẽ ŋ ɡ a p̚ʲ pʲ i
かんしゃさい	k ã ɰ ɕ a s a i
ドキュメンタリー	d o kʲ ɨ m ẽ n t a ɾʲ i
てんちてん	t ẽ ɲ t͡ɕ i t ẽ ɴ
がくし	ɡ a k ɯ ɕ i
えんぴつ	ẽ m pʲ i t͡s ɨ
せんもう	s ẽ m o
けってん	k e t̚ t ẽ ɴ
たえま	t a e m a
かとう	k a t o
まぐれあたり	m a ɡ ɯ ɾ e a t a ɾʲ i
ひけんしゃ	ç i k ẽ ɰ ɕ a
じゅうか	d͡ʑ ɨ k a
エムジェーシー	e m ɯ ʑ e ɕ i
まめがら	m a m e ɡ a ɾ a
こくど	k o k ɯ d o
すごすご	s ɨ ɡ o s ɨ ɡ o
なでしこ	n a d e ɕ i k o
じゅうさつ	d͡ʑ ɨ s a t͡s ɨ
ファラド	ɸ a ɾ a d o
ウォーターフォール・モデル	ɰ o t a ɸ o ɾ ɯ m o d e ɾ ɯ
かんな	k ã n a
わにのくち	ɰ a ɲ i n o k ɯ t͡ɕ i
なんたいもり	n ã n t a i m o ɾʲ i
マリンバ	m a ɾʲ ĩ m b a
じゅつご	d͡ʑ ɨ t͡s ɨ ɡ o
でんしおん	d ẽ ɰ ɕ i õ ɴ
そぜいかいひち	s o z e k a i ç i t͡ɕ i
にとをおうものはいっとをもえず	ɲ i t o o o ɯ m o n o ɰ a i t̚ t o o m o e z ɨ
きくか	kʲ i k ɯ k a
えいこくじん	e k o k ɯ ʑ ĩ ɴ
きづち	kʲ i z ɨ t͡ɕ i
ばらはた	b a ɾ a h a t a
かが	k a ɡ e
オーケストラ	o k e s ɨ t o ɾ a
けんけつ	k ẽ ŋ k e t͡s ɨ
なやます	n a j a m a s ɨ
きょうえん	kʲ o ẽ ɴ
ほうすいじゅう	h o s ɨ i d͡ʑ ɨ
うける	ɯ k e ɾ ɯ
こくさいか	k o k ɯ s a i k a
めしべ	m e ɕ i b e
きほう	kʲ i h o
のぶはる	n o b ɯ h a ɾ ɯ
よっか	j o k̚ k a
みらいじん	mʲ i ɾ a i ʑ ĩ ɴ
てんごく	t ẽ ŋ ɡ o k ɯ
スローモーション	s ɨ ɾ o m o ɕ õ ɴ
たいがいじゅせい	t a i ɡ a i d͡ʑ ɨ s e
ばいよう	b a i j o
きぎょうか	kʲ i ɡʲ o k a
きすう	kʲ i s ɨ
なか	n a k a
げきおこぷんぷんまる	ɡ e kʲ i o k o p ɯ m p ɯ m m a ɾ ɯ
かせんしき	k a s ẽ ɰ ɕ i kʲ i
ほくおう	h o k ɯ o
おやじ	o j a ʑ i
しょせき	ɕ o s e kʲ i
パーシャル	p a ɕ a ɾ ɯ
